code,name
R40.1,Sững sờ
R40.2,"Hôn mê, không đặc hiệu"
R40.0,Buồn ngủ
R43.0,Mất khứu giác
R43.1,Loạn khứu giác
R43.2,Loạn vị giác
R43.8,Rối loạn khác và không xác định về mùi và vị
R46.3,Tăng động
R46.0,Ý thức vệ sinh cá nhân kém
R46.5,Nghi ngờ và lảng tránh rõ rệt
R46.8,Triệu chứng khác về vẻ bề ngoài và hành vi
R46.6,Lo lắng và bận tâm quá mức vì stress
R46.2,Hành vi kỳ lạ và khó hiểu
R46.7,Chứng nói dài và quá chi tiết gây khó hiểu
R46.1,Vẻ bề ngoài kỳ quặc con người
R46.4,Phản ứng nghèo nàn và chậm chạp
R44.1,Ảo giác nhìn
R44.0,Ảo giác âm thanh
R44.3,"Ảo giác, không đặc hiệu"
R44.8,Triệu chứng khác và không xác định về cảm giác và tri giác toàn thể
R44.2,Các ảo giác khác
R41.0,"Mất định hướng, không đặc hiệu"
R41.2,Quên ngược chiều
R41.3,Các loại quên khác
R41.8,Triệu chứng không xác định liên quan đến chức năng nhận thức và nhận biết
R41.1,Quên thuận chiều
R45.8,Triệu chứng khác về trạng thái cảm xúc
R45.3,Vô đạo đức và vô cảm
R45.6,Bạo hành về thể xác (thể lực)
R45.0,Căng thẳng
R45.1,Bồn chồn và kích động
R45.4,Cáu gắt và tức giận
R45.5,Thù định
R45.2,Bất ổn
R45.7,"Trạng thái sốc cảm xúc và stress, không đặc hiệu"
R76.0,Tăng chuẩn độ kháng thể
R76.8,Các kết quả miễn dịch bất thường đặc hiệu khác của huyết thanh
R76.1,Phản ứng bất thường với test tuberculin
R76.2,Test huyết thanh dương tính giả với giang mai
R76.9,"Phát hiện miễn dịch bất thường trong huyết thanh, không đặc hiệu"
R70.1,Bất thường độ nhớt huyết tương
R70.0,Tăng độ lắng hồng cầu
R77.9,"Bất thường của protein huyết tương, không đặc hiệu"
R77.8,Bất thường đặc hiệu khác của protein huyết tương
R77.2,Bất thường của alphafetoprotein
R77.1,Bất thường của globulin
R77.0,Bất thường của albumin
R78.7,Phát hiện nồng độ kim loại nặng bất thường trong máu
R78.8,Phát hiện các chất đặc hiệu khác mà bình thường không có trong máu
R78.2,Phát hiện cocain trong máu
R78.4,Phát hiện các chất khác có khả năng gây nghiện trong máu
R78.1,Phát hiện các chế phẩm thuốc phiện trong máu
R78.9,Phát hiện chất không xác định mà bình thường không có trong máu
R78.5,Phát hiện các chất hướng thần trong máu
R78.6,Phát hiện chất stieroid trong máu
R78.3,Phát hiện chất gây ảo giác trong máu
R78.0,Phát hiện có cồn trong máu
R74.9,Bất thường nồng độ của enzym huyết thanh không xác định
R74.0,Tăng mức men transaminase và men acid lactic dehydrogenase (LDH)
R74.8,Các bất thường nồng độ enzym huyết thanh khác
R73.0,Xét nghiệm dung nạp glucoza bất thường
R73.9,"Tăng đường huyết, không đặc hiệu"
R79.9,"Phát hiện bất thường về hoá sinh máu, không đặc hiệu"
R79.8,Các phát hiện bất thường đặc hiệu khác về hoá sinh máu
R79.0,Bất thường nồng độ khoáng chất trong máu
R30.0,Đái khó
R30.1,Đau thắt bàng quang
R30.9,"Đái dắt đau, không đặc hiệu"
R39.2,Urê máu cao ngoài thận
R39.0,Tràn máu nước tiểu
R39.1,Các khó khăn khác khi tiểu tiện
R39.8,Triệu chứng không xác định liên quan tới hệ tiết niệu
R00.1,"Nhịp tim chậm, không đặc hiệu"
R00.0,"Nhịp nhanh tim, không đặc hiệu"
R00.8,Bất thường khác và không xác định của nhịp tim
R00.3,"Ngừng tim với hoạt động điện vô mạch (PEA), không phân loại nơi khác"
R00.2,Đánh trống ngực
R04.8,Chảy máu các vị trí khác của đường hô hấp
R04.2,Ho ra máu
R04.0,Chảy máu cam
R04.9,Chảy máu đường hô hấp không đặc hiệu
R04.1,Chảy máu họng
R07.4,Đau ngực không đặc hiệu
R07.0,Đau tại họng
R07.1,Đau ngực khi thở
R07.3,Đau ngực khác
R07.2,Đau trước tim
R06.6,Thở nấc
R06.7,Hắt hơi
R06.5,Thở bằng miệng
R06.0,Khó thở
R06.2,Thở khò khè
R06.3,Thở có tính chu kỳ
R06.1,Thở rít
R06.4,Tăng thông khí
R06.8,Bất thường khác và không xác định về nhịp thở
R01.1,"Tiếng thổi tim, không đặc hiệu"
R01.2,Tiếng tim khác
R01.0,Tiếng thổi tim lành tính và không hại
R03.1,Số đo huyết áp thấp không xác định
R03.0,"Số đo huyết áp tăng, không chẩn đoán tăng huyết áp"
R09.1,Viêm màng phổi
R09.8,Các triệu chứng đặc hiệu khác liên quan tới hệ tuần hoàn và hô hấp
R09.3,Đờm bất thường
R09.2,Ngừng thở
R09.0,Ngạt
R19.1,Tiếng ruột bất thường
R19.2,Nhu động ruột có thể nhìn được
R19.5,Bất thường khác của phân
R19.6,Chứng hôi miệng
R19.3,Cứng bụng
R19.4,Thay đổi thói quen của ruột
R19.8,Triệu chứng đặc hiệu khác liên quan tới hệ tiêu hoá và bụng
R19.0,Sưng hoặc khối u trong bụng và vùng vùng chậu
R10.3,Đau khu trú tại các vùng khác của bụng dưới
R10.0,Đau bụng cấp
R10.2,Đau vùng chậu và đáy chậu
R10.4,Đau bụng khác và không xác định
R10.1,Đau bụng khu trú bụng trên
R16.2,"Gan to kèm lách to, không phân loại nơi khác"
R16.0,"Gan to, không phân loại nơi khác"
R16.1,"Lách to, không phân loại nơi khác"
R17.9,"Tăng bilirubin huyết không đề cập đến vàng da, không phân loại nơi khác"
R17.0,"Tăng bilirubin huyết có đề cập đến vàng da, không phân loại nơi khác"
R48.8,Rối loạn chức năng nhận dạng ký tự khác và không xác định
R48.1,Mất nhận thức
R48.2,Mất khả năng điều khiển động tác
R48.0,Rối loạn khả năng đọc và mất khả năng đọc
R47.0,Rối loạn khả năng ngôn ngữ và mất khả năng ngôn ngữ
R47.8,Rối loạn ngôn ngữ khác và không xác định
R47.1,Rối loạn vận ngôn và mất vận ngôn
R49.2,Giọng mũi cao và giọng âm mũi thấp
R49.8,Rối loạn giọng nói khác và không xác định
R49.0,Chứng khó phát âm
R49.1,Mất tiếng
R27.0,"Mất điều hoà vận động, không đặc hiệu"
R27.8,Thiếu phối hợp khác và không xác định
R29.8,Triệu chứng khác và không xác định liên quan tới hệ thần kinh và cơ xương
R29.3,Tư thế bất thường
R29.6,"Dễ ngã, không phân loại nơi khác"
R29.4,Chậu hông khoèo
R29.2,Phản xạ bất thường
R29.0,Co cứng
R29.1,Hội chứng (co cứng) màng não
R25.8,Vận động không tự chủ bất thường khác và không xác định
R25.3,Co cứng cơ cục bộ
R25.0,Bất thường vận động đầu
R25.2,Chuột rút và co cứng
R25.1,"Rung, không đặc hiệu"
R26.0,Dáng đi mất điều vận
R26.1,Dáng đi liệt
R26.8,Dáng đi và di chuyển bất thường khác và không xác định
R26.2,"Khó khăn khi đi, không phân loại nơi khác"
R26.3,Bất động
R62.8,Phát triển sinh lý không bình thường khác
R62.0,Chậm đạt các mốc phát triển
R62.9,"Phát triển sinh lí không bình thường, không đặc hiệu"
R68.3,Chứng ngón tay hình dùi trống
R68.2,Miệng khô không đặc hiệu
R68.0,"Hạ thân nhiệt, không liên quan đến nhiệt độ môi trường thấp"
R68.8,Triệu chứng toàn thể xác định khác
R68.1,Triệu chứng riêng không đặc hiệu của trẻ em
R63.0,Chán ăn
R63.4,Giảm cân bất thường
R63.2,Chứng ăn nhiều
R63.6,Thiếu ăn và uống
R63.5,Tăng cân bất thường
R63.1,Chứng khát nước nhiều
R63.8,Triệu chứng khác liên quan đến thức ăn và dịch đưa vào cơ thể
R63.3,Khó khăn khi cho ăn và quản lý kém
R60.9,Phù không đặc hiệu
R60.1,Phù toàn thể
R60.0,Phù khu trú
R59.0,Hạch to khu trú
R59.1,Hạch to toàn thân
R59.9,"Hạch to, không đặc hiệu"
R52.0,Đau cấp tính
R52.1,Đau mạn tính khó chữa
R52.9,"Đau, không đặc hiệu"
R52.2,Đau mạn tính khác
R50.8,Sốt xác định khác
R50.2,Sốt do thuốc
R50.9,"Sốt, không đặc hiệu"
R65.0,Hội chứng đáp ứng viêm hệ thống do nhiễm trùng không suy tạng
R65.1,Hội chứng đáp ứng viêm hệ thống do nhiễm trùng có suy tạng
R65.3,Hội chứng đáp ứng viêm hệ thống không do nhiễm trùng có suy tạng
R65.2,Hội chứng đáp ứng viêm hệ thống không do nhiễm trùng không suy tạng
R65.9,"Hội chứng đáp ứng viêm hệ thống, không đặc hiệu"
R61.1,Tăng tiết mồ hôi toàn thể
R61.9,"Tăng tiết mồ hôi, không đặc hiệu"
R61.0,Tăng tiết mồ hôi khu trú
R57.1,Sốc giảm thể tích
R57.8,Sốc khác
R57.9,Sốc không đặc hiệu
R57.0,Sốc tim
R57.2,Sốc nhiễm khuẩn
R56.8,Co giật khác và không xác định
R56.0,Co giật do sốt
R82.6,Nồng độ bất thường của các chất không phải là thuốc điều trị
R82.0,Dưỡng chấp niệu
R82.1,Myoglobin niệu
R82.5,"Nồng độ tăng cao trong nước tiểu của thuốc, dược phẩm và chất sinh học"
R82.3,Haemoglobin niệu
R82.8,Phát hiện bất thường về xét nghiệm tế bào và tổ chức học trong nước tiểu
R82.4,Aceton niệu
R82.7,Các phát hiện bất thường về xét nghiệm vi khuẩn trong nước tiểu
R82.2,Đái sắc tố mật
R82.9,Phát hiện bất thường khác và không xác định trong nước tiểu
R87.7,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: bất thường về mô
R87.9,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: bất thường không xác định
R87.8,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: bất thường khác
R87.2,"Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: nồng độ bất thường của thuốc, dược phẩm và chất sinh học"
R87.0,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: nồng độ bất thường của men
R87.1,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: nồng độ bất thường của hormon
R87.5,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: bất thường về vi sinh
R87.3,"Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: nồng độ bất thường của thuốc, dược phẩm và chất sinh học khác"
R87.6,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: bất thường về tế bào
R87.4,Các phát hiện bất thường trong bệnh phẩm của cơ quan sinh dục nữ: bất thường về miễn dịch
R86.1,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: nồng độ bất thường của hormon
R86.2,"Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: nồng độ bất thường của thuốc, dược phẩm và chất sinh học khác"
R86.5,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường về vi sinh
R86.4,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường về miễn dịch
R86.7,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường về mô
R86.9,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường không xác định
R86.6,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường về tế bào
R86.0,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: nồng độ bất thường của men
R86.3,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: nồng độ bất thường của các chất không phải là thuốc điều trị
R86.8,Các phát hiện bất thường trong mẫu vật của cơ quan sinh dục nam: bất thường khác
R85.9,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường không xác định
R85.3,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: nồng độ bất thường của các chất không phải là thuốc điều trị
R85.0,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: nồng độ bất thường của men
R85.8,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường khác
R85.4,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường về miễn dịch
R85.5,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường về vi sinh
R85.1,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: nồng độ bất thường của hormon
R85.7,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường về mô
R85.2,"Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: nồng độ bất thường của thuốc, dược phẩm và chất sinh học"
R85.6,Các phát hiện bất thường trong mẫu bệnh phẩm từ cơ quan tiêu hoá và ổ bụng: bất thường về tế bào
R83.3,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: nồng độ bất thường của các chất không phải là thuốc điều trị
R83.6,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: bất thường về tế bào
R83.0,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: nồng độ bất thường của men
R83.9,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: bất thường không xác định
R83.7,Các phát hiện bất thường về xét nghiệm dịch não tuỷ: bất thường về mô
